route_number,stop_sequence,stop_id
101,1,1
101,2,2
101,3,3
101,4,4
101,5,5
101,6,6
101,7,7
101,8,8
101,9,9
101,10,10
101,11,11
101,12,12
101,13,13
101,14,14
101,15,15
101,16,16
101,17,17
101,18,18
101,19,19
101,20,20
101,21,21
101,22,22
101,23,23
101,24,24
101,25,25
101,26,26
101,27,27
101,28,28
101,29,29
103,1,30
103,2,31
103,3,32
103,4,33
103,5,34
103,6,35
103,7,36
103,8,37
103,9,38
103,10,39
103,11,40
103,12,41
103,13,42
103,14,43
103,15,44
103,16,45
103,17,46
103,18,9
103,19,47
103,20,48
103,21,49
103,22,50
103,23,51
103,24,52
103,25,53
103,26,54
103,27,55
103,28,56
103,29,57
103,30,58
103,31,59
103,32,60
103,33,61
103,34,62
103,35,63
103,36,64
103,37,65
103,38,66
103,39,67
103,40,68
103,41,69
103,42,70
103,43,71
103,44,72
103,45,73
103,46,74
103,47,75
103,48,76
103,49,77
103,50,78
103,51,79
103,52,80
103,53,81
103,54,82
103,55,83
105,1,10
105,2,47
105,3,84
105,4,85
105,5,86
105,6,46
105,7,45
105,8,44
105,9,43
105,10,42
105,11,41
105,12,40
105,13,39
105,14,38
105,15,37
105,16,36
105,17,35
105,18,34
105,19,33
105,20,32
105,21,31
105,22,30
105,23,87
105,24,88
105,25,89
105,26,90
105,27,91
105,28,92
105,29,93
105,30,94
105,31,95
105,32,96
105,33,97
105,34,98
105,35,99
105,36,100
105,37,101
105,38,102
105,39,103
105,40,104
105,41,105
105,42,106
105,43,107
105,44,108
105,45,109
105,46,110
105,47,111
105,48,112
105,49,113
105,50,114
105,51,115
105,52,116
105,53,117
105,54,118
105,55,119
105,56,120
107,1,121
107,2,30
107,3,31
107,4,32
107,5,33
107,6,34
107,7,35
107,8,36
107,9,37
107,10,38
107,11,39
107,12,40
107,13,41
107,14,42
107,15,43
107,16,44
107,17,45
107,18,46
107,19,9
107,20,122
107,21,123
107,22,124
107,23,103
107,24,125
107,25,126
107,26,127
107,27,128
107,28,129
107,29,130
107,30,131
107,31,132
107,32,133
107,33,134
107,34,135
107,35,136
107,36,137
107,37,138
107,38,139
107,39,140
107,40,141
11,1,8
11,2,46
11,3,9
11,4,47
11,5,48
11,6,49
11,7,50
11,8,51
11,9,52
11,10,53
11,11,54
11,12,55
11,13,142
11,14,143
11,15,144
11,16,145
11,17,146
11,18,147
11,19,148
11,20,149
11,21,150
11,22,151
11,23,152
11,24,153
11,25,154
11,26,155
11,27,156
110A,1,143
110A,2,142
110A,3,55
110A,4,54
110A,5,157
110A,6,158
110A,7,159
110A,8,160
110A,9,161
110A,10,2
110A,11,3
110A,12,4
110A,13,5
110A,14,6
110A,15,7
110A,16,8
110A,17,9
110A,18,10
110A,19,11
110A,20,12
110A,21,13
110A,22,14
110A,23,15
110A,24,16
110A,25,17
110A,26,18
110A,27,19
110A,28,20
110A,29,21
110A,30,162
110B,1,163
110B,2,164
110B,3,30
110B,4,31
110B,5,32
110B,6,33
110B,7,34
110B,8,35
110B,9,36
110B,10,37
110B,11,38
110B,12,39
110B,13,40
110B,14,41
110B,15,42
110B,16,43
110B,17,44
110B,18,45
110B,19,46
110B,20,9
110B,21,10
110B,22,11
110B,23,12
110B,24,13
110B,25,14
110B,26,15
110B,27,16
110B,28,17
110B,29,18
110B,30,19
110B,31,20
110B,32,21
110B,33,162
112,1,165
112,2,47
112,3,48
112,4,49
112,5,50
112,6,51
112,7,52
112,8,53
112,9,54
112,10,55
112,11,56
112,12,57
112,13,58
112,14,59
112,15,60
112,16,61
112,17,62
11B,1,8
11B,2,46
11B,3,9
11B,4,47
11B,5,48
11B,6,49
11B,7,50
11B,8,51
11B,9,52
11B,10,53
11B,11,54
11B,12,55
11B,13,142
11B,14,143
11B,15,144
11B,16,145
11B,17,146
11B,18,147
11B,19,148
11B,20,149
11B,21,150
11B,22,151
11B,23,152
11B,24,153
11B,25,154
11B,26,155
11B,27,156
11B,28,166
11B,29,167
11B,30,168
11B,31,169
11B,32,170
11B,33,171
11B,34,172
11B,35,173
11B,36,174
11B,37,175
11B,38,176
11B,39,177
11B,40,178
11B,41,179
11C,1,8
11C,2,46
11C,3,9
11C,4,47
11C,5,48
11C,6,49
11C,7,50
11C,8,51
11C,9,52
11C,10,53
11C,11,54
11C,12,55
11C,13,142
11C,14,143
11C,15,144
11C,16,145
11C,17,146
11C,18,147
11C,19,148
11C,20,149
11C,21,150
11C,22,151
11C,23,152
11C,24,153
11C,25,154
11C,26,155
11C,27,156
11C,28,180
11C,29,74
11C,30,75
11C,31,76
11C,32,77
11C,33,78
11C,34,79
11C,35,80
11C,36,81
11C,37,82
11C,38,83
12,1,1
12,2,2
12,3,3
12,4,4
12,5,5
12,6,6
12,7,7
12,8,8
12,9,9
12,10,10
12,11,11
12,12,12
12,13,181
12,14,182
12,15,183
12,16,184
12,17,21
12,18,126
12,19,185
12,20,186
12,21,187
12,22,188
12,23,189
12,24,190
12,25,191
12,26,192
12,27,193
12,28,194
12C,1,195
12C,2,196
12C,3,197
12C,4,198
12C,5,4
12C,6,5
12C,7,6
12C,8,7
12C,9,8
12C,10,46
12C,11,9
12C,12,10
12C,13,11
12C,14,12
12C,15,181
12C,16,182
12C,17,183
12C,18,184
12C,19,21
12C,20,126
12C,21,185
12C,22,186
12C,23,187
12C,24,188
12D,1,1
12D,2,2
12D,3,3
12D,4,4
12D,5,5
12D,6,6
12D,7,7
12D,8,8
12D,9,9
12D,10,10
12D,11,11
12D,12,12
12D,13,181
12D,14,182
12D,15,183
12D,16,184
12D,17,21
12D,18,126
12D,19,185
12D,20,186
12D,21,187
12D,22,188
12D,23,189
12D,24,190
12D,25,191
12D,26,192
12D,27,193
12D,28,194
12D,29,199
