stop_id,stop_name,lat,lng
1,gandhipuram town bs,11.0182714,76.9677744
2,park gate,11.0069198,76.9709294
3,v.o.c. park,,
4,c.s.i. school,,
5,c.s.i. immanuel church,,
6,d.s.p. office,,
7,collector office,11.0001959,76.9668761
8,railway station,10.9962311,76.9681435
9,town hall,10.9938921,76.9632512
10,ukkadam,10.9895218,76.9561068
11,karumbukadai,,
12,athupalam,,
13,kuniyamuthur high school,10.9560206,76.9540742
14,kuniyamuthur,10.9641042,76.9562562
15,nehru college,10.8711501,76.9273045
16,edayarpalayam pirivu,10.9520099,76.9535331
17,kuniyamuthur police station,,
18,b.k. pudur,11.0157437,76.9842202
19,kovaipudur pirivu,10.9454149,76.9392603
20,milekal,,
21,gandhi nagar,11.0609170,76.9720995
22,madukkarai police station,10.9114530,76.9490401
23,madukkarai union office,10.9006591,76.9424838
24,marappalam,,
25,chettipalayam pirivu,10.9138283,77.0374703
26,indian bank,11.0113377,76.9654687
27,thirumalayampalayam pirivu,,
28,k.g. chavadi,10.9602068,76.9681906
29,kumittipathi bs,,
30,singanallur,11.0028585,77.0234948
31,uzhavar sandhai,11.0143296,76.9444254
32,boat house,10.9982630,77.0195906
33,children hospital,10.9958251,76.9634777
34,rajalakshmi mill,11.0044176,76.9503459
35,central studios,10.9974486,77.0105115
36,andal marriage hall / iyer hospital,11.0207457,76.9706011
37,alvernia school,10.9981189,77.0028896
38,sowripalayam pirivu,10.9972686,76.9994240
39,ramanathapuram,10.9947773,76.9921300
40,olympus,,
41,chinthamani,10.9921915,76.9476130
42,sungam,10.9982119,76.9841987
43,air india,10.9264921,76.9245644
44,rainbow,10.9959705,76.9788605
45,saint francis anglo indian girls high school,,
46,government hospital,10.9559430,76.9241781
47,prakasam,10.9930561,76.9596779
48,oppanakara street bus stop,10.9968852,76.9589910
49,sukrawarpet,,
50,mahali amman koil / flower market,11.0060914,76.9554946
51,poomarket,,
52,navratna hotel,,
53,north coimbatore,11.0160188,76.9543080
54,t.v.s.,10.9882006,76.9373804
55,murugan mills,11.0248290,76.9512304
56,saibaba kovil,,
57,ooty new,10.9457911,76.9377565
58,eru company,11.0340517,76.9507666
59,housing unit,11.0401716,76.9484153
60,kavundampalayam,11.0452035,76.9474306
61,cheran nagar,11.0519652,76.9460784
62,i.t.i.,,
63,g.n. mills,,
64,vellakinar pirivu,11.0643219,76.9436755
65,venugopal hospital,,
66,viswanathapuram,11.0745920,76.9419506
67,thudiyalur,11.0805532,76.9421498
68,ulavar sandhai,,
69,vadamadurai,11.0844504,76.9390795
70,v.s.k. nagar,,
71,palanigoundanpudhur,,
72,gowtham nagar,,
73,pannimadai main,11.0856589,76.9164154
74,pannimadai,11.0856589,76.9164154
75,dhaliyur,,
76,avinashilingam university,11.0202445,76.9526709
77,pappanaickenpalayam,,
78,varappalayam,,
79,ramanathapuram village,10.9947773,76.9921300
80,madathur,,
81,madathur puthur,,
