stop_id,stop_name
1,gandhipuram town bs
2,park gate
3,v.o.c. park
4,c.s.i. school
5,c.s.i. immanuel church
6,d.s.p. office
7,collector office
8,railway station
9,town hall
10,ukkadam
11,karumbukadai
12,athupalam
13,kuniyamuthur high school
14,kuniyamuthur
15,nehru college
16,edayarpalayam pirivu
17,kuniyamuthur police station
18,b.k. pudur
19,kovaipudur pirivu
20,milekal
21,gandhi nagar
22,madukkarai police station
23,madukkarai union office
24,marappalam
25,chettipalayam pirivu
26,indian bank
27,thirumalayampalayam pirivu
28,k.g. chavadi
29,kumittipathi bs
30,singanallur
31,uzhavar sandhai
32,boat house
33,children hospital
34,rajalakshmi mill
35,central studios
36,andal marriage hall / iyer hospital
37,alvernia school
38,sowripalayam pirivu
39,ramanathapuram
40,olympus
41,chinthamani
42,sungam
43,air india
44,rainbow
45,saint francis anglo indian girls high school
46,government hospital
47,prakasam
48,oppanakara street bus stop
49,sukrawarpet
50,mahali amman koil / flower market
51,poomarket
52,navratna hotel
53,north coimbatore
54,t.v.s.
55,murugan mills
56,saibaba kovil
57,ooty new
58,eru company
59,housing unit
60,kavundampalayam
61,cheran nagar
62,i.t.i.
63,g.n. mills
64,vellakinar pirivu
65,venugopal hospital
66,viswanathapuram
67,thudiyalur
68,ulavar sandhai
69,vadamadurai
70,v.s.k. nagar
71,palanigoundanpudhur
72,gowtham nagar
73,pannimadai main
74,pannimadai
75,dhaliyur
76,avinashilingam university
77,pappanaickenpalayam
78,varappalayam
79,ramanathapuram village
80,madathur
81,madathur puthur
82,nanjundapuram
83,chinna thadagam
84,raja street
85,five corner
86,manikoondu / town hall
87,vasantha mill
88,shanthi gears
89,jai sai shanthi
90,saint joseph school
91,saint joseph matriculation secondary school
92,ondipudur
93,sri hari mills
94,kamatchipuram
95,kadri mills high school
96,karthik mills
97,krishna priya thirumana mandapam
98,l & t bypass
99,saraswathi hospital
100,kannampalayam pirivu
101,cindhamanipudur
102,pappampatti pirivu
103,selvapuram
104,ravathur pirivu
105,r.v.s. institute
106,narasimha textiles
107,ranganathapuram
108,sulur police station
109,sulur g.h.
110,sulur
111,market cut / cinema theatre
112,r.v.s. arts college
113,kongu kalyana mandapam
114,r.t.o. office
115,kangayampalayam
116,airforce sulpur
